dataset,pipeline,model,fold,seed,accuracy,balanced_accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,precision_macro,recall_macro,cohen_kappa,mcc,ece,log_loss,mean_confidence,std_confidence,mean_entropy,std_entropy,train_time_s,inference_time_s,memory_delta_mb,train_samples,test_samples,n_features
home_har_data,amplitude,RandomForest,-1,42,0.1031,0.1031,0.087,0.087,0.0802,0.1031,0.0802,0.1031,-0.0464,-0.0494,0.4718,10.3524,0.5749,0.1957,0.9992,0.3874,285.531,4.703,763.6,6692,6986,15600
home_har_data,amplitude,RandomForest,-1,43,0.1031,0.1031,0.087,0.087,0.0802,0.1031,0.0802,0.1031,-0.0464,-0.0494,0.4718,10.3524,0.5749,0.1957,0.9992,0.3874,282.859,2.281,29.1,6692,6986,15600
home_har_data,amplitude,RandomForest,-1,44,0.1031,0.1031,0.087,0.087,0.0802,0.1031,0.0802,0.1031,-0.0464,-0.0494,0.4718,10.3524,0.5749,0.1957,0.9992,0.3874,284.641,1.922,27.4,6692,6986,15600
home_har_data,amplitude,XGBoost,-1,42,0.218,0.218,0.1955,0.1955,0.1831,0.218,0.1831,0.218,0.0877,0.0897,0.4136,3.1944,0.6316,0.2022,0.9501,0.3797,2634.266,3.641,-1271.9,6692,6986,15600
home_har_data,amplitude,XGBoost,-1,43,0.218,0.218,0.1955,0.1955,0.1831,0.218,0.1831,0.218,0.0877,0.0897,0.4136,3.1944,0.6316,0.2022,0.9501,0.3797,2598.422,2.75,-409.3,6692,6986,15600
home_har_data,amplitude,XGBoost,-1,44,0.218,0.218,0.1955,0.1955,0.1831,0.218,0.1831,0.218,0.0877,0.0897,0.4136,3.1944,0.6316,0.2022,0.9501,0.3797,2528.203,2.609,-871.2,6692,6986,15600
home_har_data,amplitude_phase,RandomForest,-1,42,0.1137,0.1137,0.0911,0.0911,0.0799,0.1137,0.0799,0.1137,-0.0341,-0.0361,0.4516,9.8763,0.5652,0.1959,1.0341,0.3836,390.406,5.5,1597.6,6692,6986,31200
home_har_data,amplitude_phase,RandomForest,-1,43,0.1137,0.1137,0.0911,0.0911,0.0799,0.1137,0.0799,0.1137,-0.0341,-0.0361,0.4516,9.8763,0.5652,0.1959,1.0341,0.3836,383.672,1.844,24.8,6692,6986,31200
home_har_data,amplitude_phase,RandomForest,-1,44,0.1137,0.1137,0.0911,0.0911,0.0799,0.1137,0.0799,0.1137,-0.0341,-0.0361,0.4516,9.8763,0.5652,0.1959,1.0341,0.3836,389.734,2.125,1.2,6692,6986,31200
home_har_data,amplitude_phase,XGBoost,-1,42,0.2455,0.2455,0.2168,0.2168,0.2033,0.2455,0.2033,0.2455,0.1197,0.1227,0.3672,2.9835,0.6119,0.1878,1.0045,0.3518,7118.422,8.891,-3806.9,6692,6986,31200
home_har_data,amplitude_phase,XGBoost,-1,43,0.2455,0.2455,0.2168,0.2168,0.2033,0.2455,0.2033,0.2455,0.1197,0.1227,0.3672,2.9835,0.6119,0.1878,1.0045,0.3518,6170.406,10.812,-3391.5,6692,6986,31200
home_har_data,amplitude_phase,XGBoost,-1,44,0.2455,0.2455,0.2168,0.2168,0.2033,0.2455,0.2033,0.2455,0.1197,0.1227,0.3672,2.9835,0.6119,0.1878,1.0045,0.3518,7423.266,7.406,38.8,6692,6986,31200
