dataset,window_len,pipeline,architecture,condition,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,cohen_kappa_mean,cohen_kappa_std,mcc_mean,mcc_std,ece_mean,ece_std,log_loss_mean,log_loss_std,mean_confidence_mean,mean_confidence_std,std_confidence_mean,std_confidence_std,mean_entropy_mean,mean_entropy_std,std_entropy_mean,std_entropy_std
home_har_data,wl1000,rv_w2000,CNN_LSTM,noBN,1,0.3432,0.0,0.3432,0.0,0.3281,0.0,0.3281,0.0,0.4064,0.0,0.3432,0.0,0.4064,0.0,0.3432,0.0,0.2338,0.0,0.2444,0.0,0.4888,0.0,3.6207,0.0,0.832,0.0,0.19,0.0,0.4322,0.0,0.4236,0.0
home_har_data,wl1000,rv_w2000,Conv1D,noBN,1,0.3198,0.0,0.3198,0.0,0.3006,0.0,0.3006,0.0,0.3901,0.0,0.3198,0.0,0.3901,0.0,0.3198,0.0,0.2064,0.0,0.2168,0.0,0.2391,0.0,1.836,0.0,0.5493,0.0,0.2295,0.0,1.0733,0.0,0.4799,0.0
home_har_data,wl1000,rv_w2000,MLP,noBN,1,0.1429,0.0,0.1429,0.0,0.0357,0.0,0.0357,0.0,0.0204,0.0,0.1429,0.0,0.0204,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,1.9459,0.0,0.1432,0.0,0.0,0.0,1.9459,0.0,0.0,0.0
home_har_data,wl1000,rv_w200,CNN_LSTM,noBN,1,0.5,0.0,0.5,0.0,0.4173,0.0,0.4173,0.0,0.3764,0.0,0.5,0.0,0.3764,0.0,0.5,0.0,0.4167,0.0,0.4414,0.0,0.4512,0.0,5.725,0.0,0.951,0.0,0.1102,0.0,0.1244,0.0,0.2302,0.0
home_har_data,wl1000,rv_w200,Conv1D,noBN,1,0.4645,0.0,0.4645,0.0,0.3945,0.0,0.3945,0.0,0.4647,0.0,0.4645,0.0,0.4647,0.0,0.4645,0.0,0.3753,0.0,0.3928,0.0,0.3844,0.0,4.1201,0.0,0.8483,0.0,0.1872,0.0,0.3617,0.0,0.3809,0.0
home_har_data,wl1000,rv_w200,MLP,noBN,1,0.35,0.0,0.35,0.0,0.2791,0.0,0.2791,0.0,0.2874,0.0,0.35,0.0,0.2874,0.0,0.35,0.0,0.2416,0.0,0.2659,0.0,0.1077,0.0,2.7866,0.0,0.3382,0.0,0.2345,0.0,1.5189,0.0,0.5578,0.0
home_har_data,wl1000,rv_w20,CNN_LSTM,noBN,1,0.4832,0.0,0.4832,0.0,0.4109,0.0,0.4109,0.0,0.3848,0.0,0.4832,0.0,0.3848,0.0,0.4832,0.0,0.3971,0.0,0.4269,0.0,0.476,0.0,7.0644,0.0,0.958,0.0,0.0994,0.0,0.1055,0.0,0.2009,0.0
home_har_data,wl1000,rv_w20,Conv1D,noBN,1,0.5292,0.0,0.5292,0.0,0.4557,0.0,0.4557,0.0,0.4972,0.0,0.5292,0.0,0.4972,0.0,0.5292,0.0,0.4508,0.0,0.4745,0.0,0.391,0.0,4.2584,0.0,0.9202,0.0,0.1326,0.0,0.2047,0.0,0.2682,0.0
home_har_data,wl1000,rv_w20,MLP,noBN,1,0.3514,0.0,0.3514,0.0,0.322,0.0,0.322,0.0,0.3823,0.0,0.3514,0.0,0.3823,0.0,0.3514,0.0,0.2433,0.0,0.256,0.0,0.5111,0.0,5.9424,0.0,0.8603,0.0,0.1838,0.0,0.3752,0.0,0.4289,0.0
home_har_data,wl2000,rv_w2000,CNN_LSTM,noBN,1,0.3523,0.0,0.3523,0.0,0.3162,0.0,0.3162,0.0,0.3539,0.0,0.3523,0.0,0.3539,0.0,0.3523,0.0,0.2444,0.0,0.2532,0.0,0.5059,0.0,3.6031,0.0,0.8582,0.0,0.18,0.0,0.3644,0.0,0.3956,0.0
