centroid_mean_cosine,centroid_mean_l2,cov_principal_angle_deg,dataset,domain_clf_linear_acc,domain_clf_mlp_acc,drift_severity_score,experiment,mmd_global,pair,prior_kl_div,summary
0.288,13.0175,34.78,home_har_data,0.9674,0.9798,,pairwise,0.217793,D1->D2,0.0,
0.3482,14.3409,33.71,home_har_data,0.9778,0.9802,,pairwise,0.115528,D2->D3,0.0,
0.4819,8.9033,27.53,home_har_data,0.949,0.9592,,pairwise,0.10695,D1->D3,0.0,
,,,home_har_data,,,,exp11,,all,,"{""mmd12"": 0.181384, ""mmd23"": 0.108318, ""mmd13"": 0.111323, ""mmd_acceleration"": -0.070061, ""speed12"": 8.7201, ""speed23"": 5.9097, ""centroid_acceleration"": 14.2595, ""direction_cosine"": -0.8962, ""interpretation"": ""Drift is decelerating""}"
,,,home_har_data,,,,exp12,,all,,"{""mean_var"": {""D1"": 0.6206, ""D2"": 2.2113, ""D3"": 1.2857}, ""n_unstable"": 53, ""unstable_features"": [1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]}"
,,,home_har_data,,,,exp13,,all,,"{""sig_counts"": {""D1-D2"": 64, ""D2-D3"": 63, ""D1-D3"": 64}, ""mean_ks"": {""D1-D2"": 0.3199, ""D2-D3"": 0.3041, ""D1-D3"": 0.2335}}"
,,,home_har_data,,,,exp14,,all,,"{""fisher"": {""D1"": 3.0456, ""D2"": 1.1872, ""D3"": 4.7551}, ""margins"": {""D1"": 20.5692, ""D2"": 12.8868, ""D3"": 22.457}}"
,,,home_har_data,,,,exp15,,all,,"{""D1"": {""participation_ratio"": 5.09, ""effective_dim_95"": 7, ""cum_var_10"": 0.9868, ""cum_var_20"": 0.9978}, ""D2"": {""participation_ratio"": 1.6, ""effective_dim_95"": 3, ""cum_var_10"": 0.9968, ""cum_var_20"": 0.9993}, ""D3"": {""participation_ratio"": 2.48, ""effective_dim_95"": 5, ""cum_var_10"": 0.994, ""cum_var_20"": 0.9988}}"
,,,home_har_data,,,,exp16,,all,,"{""D1->D2"": {""accuracy"": 0.075}, ""D1->D3"": {""accuracy"": 0.0707}}"
,,,home_har_data,,,,exp17,,all,,"{""per_class"": {""drink"": {""cos12"": 0.0988, ""cos23"": 0.079, ""cos13"": 0.5392}, ""eat"": {""cos12"": 0.1331, ""cos23"": 0.1468, ""cos13"": 0.7897}, ""empty"": {""cos12"": 0.5024, ""cos23"": 0.3306, ""cos13"": 0.7983}, ""sleep"": {""cos12"": 0.3859, ""cos23"": 0.2149, ""cos13"": 0.0949}, ""smoke"": {""cos12"": 0.2445, ""cos23"": 0.266, ""cos13"": 0.8952}, ""watch"": {""cos12"": 0.0689, ""cos23"": 0.5992, ""cos13"": 0.0159}, ""work"": {""cos12"": 0.5825, ""cos23"": 0.8007, ""cos13"": 0.24}}, ""global"": {""cos12"": 0.641, ""cos23"": 0.8695, ""cos13"": 0.80"
,,,home_har_data,,,,exp18,,all,,"{""D1"": {""participation_ratio"": 5.09, ""pca_95"": 7, ""mle_dimension"": 3.07}, ""D2"": {""participation_ratio"": 1.6, ""pca_95"": 3, ""mle_dimension"": 3.29}, ""D3"": {""participation_ratio"": 2.48, ""pca_95"": 5, ""mle_dimension"": 3.0}}"
,,,home_har_data,,,,exp19,,all,,"{""D1"": {""mean_abs_corr"": 0.3566, ""n_high_corr_pairs"": 109}, ""D2"": {""mean_abs_corr"": 0.3064, ""n_high_corr_pairs"": 138}, ""D3"": {""mean_abs_corr"": 0.376, ""n_high_corr_pairs"": 182}}"
,,,home_har_data,,,,exp20,,all,,"{""D1"": {""fisher"": 3.0456, ""silhouette"": 0.5096, ""davies_bouldin"": 0.9848}, ""D2"": {""fisher"": 1.1872, ""silhouette"": 0.264, ""davies_bouldin"": 2.7638}, ""D3"": {""fisher"": 4.7551, ""silhouette"": 0.2814, ""davies_bouldin"": 1.5543}}"
,,,home_har_data,,,,exp21,,all,,"{""D1"": {""cluster_purity"": 0.8053}, ""D2"": {""cluster_purity"": 0.501}, ""D3"": {""cluster_purity"": 0.6819}}"
,,,home_har_data,,,,exp22,,all,,"{""D1"": {""within_var"": 0.0215, ""between_var"": 29.9026, ""snr"": 1391.8569}, ""D2"": {""within_var"": 0.1297, ""between_var"": 76.8198, ""snr"": 592.4272}, ""D3"": {""within_var"": 0.0287, ""between_var"": 67.9884, ""snr"": 2372.7981}}"
,,,home_har_data,,,0.577,drift_score,,all,,"{""score"": 0.577, ""norm_mmd"": 0.2139, ""norm_domain_acc"": 0.898, ""norm_angle"": 0.3059, ""norm_centroid"": 0.8903}"
0.9788,1.1766,23.78,home_occupation_data,0.8527,0.8477,,pairwise,0.019334,D1->D2,0.0,
0.9921,1.2683,26.41,home_occupation_data,0.8397,0.838,,pairwise,0.018268,D2->D3,0.0,
0.9836,1.474,25.3,home_occupation_data,0.9519,0.9282,,pairwise,0.016529,D1->D3,0.0,
,,,home_occupation_data,,,,exp11,,all,,"{""mmd12"": 0.018314, ""mmd23"": 0.030819, ""mmd13"": 0.018534, ""mmd_acceleration"": 0.00022, ""speed12"": 0.7661, ""speed23"": 0.9074, ""centroid_acceleration"": 1.2814, ""direction_cosine"": -0.1668, ""interpretation"": ""Drift speed is roughly constant""}"
